index,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datetime
0,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,5
1,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,5
2,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,5
3,33,entrepreneur,married,secondary,no,2,yes,yes,cellular,19,nov,17,5,198,1,failure,no,11
4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,5
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,5
6,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,5
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,5
8,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,5
9,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,5
10,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,5
11,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,5
12,41,admin.,divorced,secondary,no,270,yes,no,cellular,6,apr,143,1,336,1,failure,no,4
13,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,5
14,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,5
15,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,5
16,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,5
17,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,5
18,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,5
19,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,5
20,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,5
21,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,5
22,33,services,married,secondary,no,0,yes,no,unknown,26,may,192,6,-1,0,unknown,no,5
23,33,services,married,secondary,no,0,yes,no,cellular,14,jul,163,2,-1,0,unknown,no,7
24,33,services,married,secondary,no,0,yes,no,telephone,22,jul,44,8,-1,0,unknown,no,7
25,33,services,married,secondary,no,0,yes,no,cellular,29,jan,578,1,-1,0,unknown,no,1
26,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,5
27,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,5
28,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,5
29,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,5
30,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,5
31,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,5
32,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,5
33,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,5
34,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,5
35,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,5
36,36,technician,single,secondary,no,265,yes,yes,cellular,2,feb,88,1,273,1,failure,no,2
37,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,5
38,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,5
39,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,5
40,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,5
41,59,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,217,4,-1,0,unknown,no,5
42,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,5
