city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
city_41,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Not Applicable,1,21
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,Not Applicable,Pvt Ltd,1,98
city_21,0.624,Male,No relevent experience,no_enrollment,High School,,<1,Not Applicable,Pvt Ltd,never,15
city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Pvt Ltd,1,39
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,72
city_23,0.899,Male,No relevent experience,Part time course,Masters,STEM,10,Not Applicable,Not Applicable,2,12
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,11
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,Not Applicable,Not Applicable,>4,81
city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Not Applicable,Not Applicable,4,2
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,,3,50-99,Funded Startup,1,4
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,Not Applicable,Not Applicable,>4,196
city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10/49,Pvt Ltd,2,51
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Other,never,48
city_98,0.949,Unknown,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,134
city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,5,Not Applicable,Not Applicable,never,10
city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,13,1000-4999,Pvt Ltd,1,125
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,4
city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,Business Degree,2,50-99,Pvt Ltd,1,31
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,6,Not Applicable,Pvt Ltd,4,23
city_21,0.624,Male,No relevent experience,Full time course,,,2,Not Applicable,Not Applicable,never,110
city_103,0.92,Unknown,No relevent experience,Full time course,Graduate,STEM,2,Not Applicable,Not Applicable,never,74
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Not Applicable,1,44
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,3,33
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,Not Applicable,Not Applicable,1,81
city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,>4,19
city_103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,15,Not Applicable,Public Sector,>4,48
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,65
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,Not Applicable,Public Sector,1,46
city_134,0.698,Unknown,Has relevent experience,no_enrollment,Masters,STEM,16,Not Applicable,Pvt Ltd,1,78
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,,105
city_73,0.754,Unknown,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,29
