chunk,chunk,chunk,chunk,chunk,chunk,chunk,education,education,education,education
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert
[0:49],0,0,49,,,analysis,0.18716648808300695,0.2,,False
[50:99],1,50,99,,,analysis,0.10046802487006395,0.2,,False
[100:149],2,100,149,,,analysis,0.10783768599858828,0.2,,False
[150:199],3,150,199,,,analysis,0.11568854213538872,0.2,,False
[200:249],4,200,249,,,analysis,0.07979962626329459,0.2,,False
[250:299],5,250,299,,,analysis,0.22539123331880545,0.2,,True
[300:349],6,300,349,,,analysis,0.15336657905895976,0.2,,False
[350:399],7,350,399,,,analysis,0.15570898728515384,0.2,,False
[400:449],8,400,449,,,analysis,0.11834025611809307,0.2,,False
[450:499],9,450,499,,,analysis,0.13781125423220406,0.2,,False
[500:549],10,500,549,,,analysis,0.12849494743020362,0.2,,False
[550:599],11,550,599,,,analysis,0.09840584755647173,0.2,,False
[600:649],12,600,649,,,analysis,0.2003184427211284,0.2,,True
[650:699],13,650,699,,,analysis,0.20885224663350765,0.2,,True
[700:749],14,700,749,,,analysis,0.13136916946468413,0.2,,False
[750:799],15,750,799,,,analysis,0.07985932002314232,0.2,,False
[800:849],16,800,849,,,analysis,0.06711937804518943,0.2,,False
[850:899],17,850,899,,,analysis,0.1258439019200104,0.2,,False
[900:949],18,900,949,,,analysis,0.16299773103200474,0.2,,False
[950:999],19,950,999,,,analysis,0.13040280563873025,0.2,,False
[1000:1049],20,1000,1049,,,analysis,0.15138441154893525,0.2,,False
[1050:1099],21,1050,1099,,,analysis,0.08556575040919943,0.2,,False
[1100:1149],22,1100,1149,,,analysis,0.1559785679126339,0.2,,False
[1150:1199],23,1150,1199,,,analysis,0.14858748829938673,0.2,,False
[1200:1249],24,1200,1249,,,analysis,0.15421313360956007,0.2,,False
[1250:1299],25,1250,1299,,,analysis,0.1627704360775903,0.2,,False
[1300:1349],26,1300,1349,,,analysis,0.2003184427211284,0.2,,True
[1350:1399],27,1350,1399,,,analysis,0.17157925997140627,0.2,,False
[1400:1449],28,1400,1449,,,analysis,0.09683147844486079,0.2,,False
[1450:1499],29,1450,1499,,,analysis,0.06248805133472285,0.2,,False
[1500:1549],30,1500,1549,,,analysis,0.17620087729576314,0.2,,False
[1550:1599],31,1550,1599,,,analysis,0.11937641512676997,0.2,,False
[1600:1649],32,1600,1649,,,analysis,0.1251003488572753,0.2,,False
[1650:1699],33,1650,1699,,,analysis,0.09749351347739701,0.2,,False
[1700:1749],34,1700,1749,,,analysis,0.17942125706293172,0.2,,False
